,pob_x,pob_y,pob_x_best,pob_y_best
0,"[2.17088e+01 2.34059e+01 1.40362e+01 ... 4.03000e-02 4.28000e-02
 1.87000e-02]",915.4058158472561,"[2.17088e+01 2.34059e+01 1.40362e+01 ... 4.03000e-02 4.28000e-02
 1.87000e-02]",915.4058158472561
1,"[2.17088e+01 2.34059e+01 1.40362e+01 ... 4.03000e-02 4.28000e-02
 1.87000e-02]",19323398.20111694,"[2.17088e+01 2.34059e+01 1.40362e+01 ... 4.03000e-02 4.28000e-02
 1.87000e-02]",915.4058158472561
2,[20.5357   17.8244   17.289299 ...  0.0357    0.0338    0.0241  ],904.9443356792013,[20.5357   17.8244   17.289299 ...  0.0357    0.0338    0.0241  ],904.9443356792013
3,[19.0359 10.6886 21.4483 ...  0.0298  0.0222  0.031 ],1347312693.8024173,[20.5357   17.8244   17.289299 ...  0.0357    0.0338    0.0241  ],904.9443356792013
4,"[1.8860399e+01 9.2645998e+00 2.2145699e+01 ... 2.9300002e-02 1.8800002e-02
 3.2299999e-02]",820.5086405517548,"[1.8860399e+01 9.2645998e+00 2.2145699e+01 ... 2.9300002e-02 1.8800002e-02
 3.2299999e-02]",820.5086405517548
5,"[1.9069099e+01 7.3569999e+00 2.2604698e+01 ... 3.1300001e-02 1.0300001e-02
 3.3299997e-02]",822.5146162175141,"[1.8860399e+01 9.2645998e+00 2.2145699e+01 ... 2.9300002e-02 1.8800002e-02
 3.2299999e-02]",820.5086405517548
6,"[1.9257099e+01 5.8715997e+00 2.2934698e+01 ... 3.3000000e-02 4.9999999e-03
 3.3999998e-02]",3123934.2795132413,"[1.8860399e+01 9.2645998e+00 2.2145699e+01 ... 2.9300002e-02 1.8800002e-02
 3.2299999e-02]",820.5086405517548
7,"[2.1948799e+01 7.5366998e+00 1.9456697e+01 ... 4.4599999e-02 4.9999999e-03
 2.8499998e-02]",41618.55071679548,"[1.8860399e+01 9.2645998e+00 2.2145699e+01 ... 2.9300002e-02 1.8800002e-02
 3.2299999e-02]",820.5086405517548
8,"[2.3275499e+01 1.0958000e+01 1.6812197e+01 ... 4.7599997e-02 9.7000003e-03
 2.3899999e-02]",809.3673723712773,"[2.3275499e+01 1.0958000e+01 1.6812197e+01 ... 4.7599997e-02 9.7000003e-03
 2.3899999e-02]",809.3673723712773
9,"[2.9400099e+01 1.4232400e+01 1.8236496e+01 ... 5.0000001e-02 1.0300000e-02
 1.9399999e-02]",613.1004560891173,"[2.9400099e+01 1.4232400e+01 1.8236496e+01 ... 5.0000001e-02 1.0300000e-02
 1.9399999e-02]",613.1004560891173
10,"[3.0000000e+01 1.7080700e+01 1.9521095e+01 ... 5.0000001e-02 1.0700000e-02
 1.5399999e-02]",600.4359065830222,"[3.0000000e+01 1.7080700e+01 1.9521095e+01 ... 5.0000001e-02 1.0700000e-02
 1.5399999e-02]",600.4359065830222
11,"[3.0000000e+01 1.9036200e+01 1.6399796e+01 ... 5.0000001e-02 9.0000005e-03
 1.2799999e-02]",608.2004295570241,"[3.0000000e+01 1.7080700e+01 1.9521095e+01 ... 5.0000001e-02 1.0700000e-02
 1.5399999e-02]",600.4359065830222
12,"[3.0000000e+01 1.9227600e+01 8.6257954e+00 ... 5.0000001e-02 5.4000006e-03
 1.3799999e-02]",560.0500645233285,"[3.0000000e+01 1.9227600e+01 8.6257954e+00 ... 5.0000001e-02 5.4000006e-03
 1.3799999e-02]",560.0500645233285
