Streamflow Gauge Comparison
"Scenario: Reference, Streamflow Gauge: AlicahueEnColliguay"
Cubic Meters per Second
Statistic,Modeled,Observed
"Jan 1 1979",2.88693,3.54286
"Jan 8 1979",2.64675,2.8
"Jan 15 1979",2.4954,2.6
"Jan 22 1979",2.37915,2.15714
"Jan 29 1979",2.28229,1.91429
"Feb 5 1979",2.1979,1.81429
"Feb 12 1979",2.11902,1.51429
"Feb 19 1979",2.04639,1.44286
"Feb 26 1979",1.97847,1.32857
"Mar 5 1979",1.91447,1.02857
"Mar 12 1979",1.85386,0.914286
"Mar 19 1979",1.79628,0.885714
"Mar 26 1979",1.74151,0.957143
"Apr 2 1979",1.69341,0.842857
"Apr 9 1979",1.64273,1
"Apr 16 1979",1.59333,0.971429
"Apr 23 1979",1.5498,1.08571
"Apr 30 1979",1.52729,1.04286
"May 7 1979",1.47283,1
"May 14 1979",1.43114,1.04286
"May 21 1979",1.39227,1.05714
"May 28 1979",1.35331,1.01429
"Jun 4 1979",1.31737,0.842857
"Jun 11 1979",1.28288,0.771429
"Jun 18 1979",1.24974,0.585714
"Jun 25 1979",1.21792,0.5
"Jul 2 1979",1.18728,0.485714
"Jul 9 1979",1.15781,0.614286
"Jul 16 1979",1.12948,0.542857
"Jul 23 1979",1.11564,0.628571
"Jul 30 1979",1.18007,0.628571
"Aug 6 1979",2.27824,0.542857
"Aug 13 1979",1.23621,0.714286
"Aug 20 1979",1.22173,0.785714
"Aug 27 1979",1.25041,1.1
"Sep 3 1979",1.27802,1.01429
"Sep 10 1979",1.37705,0.842857
"Sep 17 1979",1.21797,0.8
"Sep 24 1979",1.17568,0.771429
"Oct 1 1979",1.08475,0.714286
"Oct 8 1979",1.52178,0.9
"Oct 15 1979",2.68118,0.866667
"Oct 22 1979",1.48816,0.933333
"Oct 29 1979",1.28204,0.9
"Nov 5 1979",1.11404,0.885714
"Nov 12 1979",0.982229,0.771429
"Nov 19 1979",0.936009,0.7
"Nov 26 1979",0.895185,0.7
"Dec 3 1979",0.866242,0.657143
"Dec 10 1979",0.86239,0.628571
"Dec 17 1979",0.820323,0.6
"Dec 24 1979",0.69918,0.575
"Jan 1 1980",0.780935,0.571429
"Jan 8 1980",0.762349,0.6
"Jan 15 1980",0.746018,0.685714
"Jan 22 1980",0.730592,0.6
"Jan 29 1980",0.717229,0.314286
"Feb 5 1980",0.703207,0.285714
"Feb 12 1980",0.688652,0.528571
"Feb 19 1980",0.676334,1.85
"Feb 26 1980",0.580013, 
"Mar 5 1980",0.651537, 
"Mar 12 1980",0.63842, 
"Mar 19 1980",0.626777, 
"Mar 26 1980",0.615468, 
"Apr 2 1980",0.607216, 
"Apr 9 1980",0.707547, 
"Apr 16 1980",0.873174, 
"Apr 23 1980",1.1988, 
"Apr 30 1980",0.945338, 
"May 7 1980",0.797633, 
"May 14 1980",0.989264, 
"May 21 1980",0.83063, 
"May 28 1980",0.761652, 
"Jun 4 1980",0.758082, 
"Jun 11 1980",0.761178, 
"Jun 18 1980",0.748742, 
"Jun 25 1980",0.793004, 
"Jul 2 1980",0.822356, 
"Jul 9 1980",1.2069, 
"Jul 16 1980",0.956911, 
"Jul 23 1980",1.13719, 
"Jul 30 1980",1.31975, 
"Aug 6 1980",2.08135, 
"Aug 13 1980",1.10497, 
"Aug 20 1980",0.985537, 
"Aug 27 1980",0.899304, 
"Sep 3 1980",0.83089, 
"Sep 10 1980",0.858129, 
"Sep 17 1980",0.855184, 
"Sep 24 1980",0.803605, 
"Oct 1 1980",0.928018, 
"Oct 8 1980",1.60677, 
"Oct 15 1980",2.7988, 
"Oct 22 1980",3.55179, 
"Oct 29 1980",4.24947, 
"Nov 5 1980",0.946569, 
"Nov 12 1980",0.874416, 
"Nov 19 1980",0.777336, 
"Nov 26 1980",0.725045, 
"Dec 3 1980",0.684434, 
"Dec 10 1980",0.653139, 
"Dec 17 1980",0.629132, 
"Dec 24 1980",0.533058, 
"Jan 1 1981",0.592827, 
"Jan 8 1981",0.576872, 
"Jan 15 1981",0.56401, 
"Jan 22 1981",0.552122, 
"Jan 29 1981",0.541126, 
"Feb 5 1981",0.533071, 
"Feb 12 1981",0.522367, 
"Feb 19 1981",0.512458, 
"Feb 26 1981",0.503478, 
"Mar 5 1981",0.494836, 
"Mar 12 1981",0.486495, 
"Mar 19 1981",0.478436, 
"Mar 26 1981",0.470663, 
"Apr 2 1981",0.463032, 
"Apr 9 1981",0.455624, 
"Apr 16 1981",0.448419, 
"Apr 23 1981",0.442509, 
"Apr 30 1981",0.43656, 
"May 7 1981",0.471075, 
"May 14 1981",0.524564, 
"May 21 1981",0.542391, 
"May 28 1981",0.629198, 
"Jun 4 1981",0.752458, 
"Jun 11 1981",0.671882, 
"Jun 18 1981",0.648138, 
"Jun 25 1981",0.729502, 
"Jul 2 1981",0.634042, 
"Jul 9 1981",0.644953, 
"Jul 16 1981",0.705443, 
"Jul 23 1981",0.705363, 
"Jul 30 1981",0.618771, 
"Aug 6 1981",0.669888, 
"Aug 13 1981",0.696304, 
"Aug 20 1981",0.589958, 
"Aug 27 1981",0.578355, 
"Sep 3 1981",0.717475, 
"Sep 10 1981",0.66221, 
"Sep 17 1981",0.565264, 
"Sep 24 1981",0.836865, 
"Oct 1 1981",0.524966, 
"Oct 8 1981",0.499061,0.5
"Oct 15 1981",1.72432,0.5
"Oct 22 1981",2.31347,0.614286
"Oct 29 1981",0.928312,0.6
"Nov 5 1981",0.765211,0.628571
"Nov 12 1981",0.665922,0.6
"Nov 19 1981",0.503553,0.557143
"Nov 26 1981",0.472887,0.5
"Dec 3 1981",0.449646,0.5
"Dec 10 1981",0.431105,0.5
"Dec 17 1981",0.416864,0.5
"Dec 24 1981",0.354463,0.5
"Jan 1 1982",0.396371,0.5
"Jan 8 1982",0.387162,0.5
"Jan 15 1982",0.379784,0.5
"Jan 22 1982",0.373135,0.5
"Jan 29 1982",0.366983,0.5
"Feb 5 1982",0.361173,0.5
"Feb 12 1982",0.355673,0.5
"Feb 19 1982",0.350411,0.5
"Feb 26 1982",0.34534,0.5
"Mar 5 1982",0.34144,0.528571
"Mar 12 1982",0.335866,0.5
"Mar 19 1982",0.337334,0.414286
"Mar 26 1982",0.339889,0.471429
"Apr 2 1982",0.332025,0.414286
"Apr 9 1982",0.325687,0.4
"Apr 16 1982",0.320153,0.4
"Apr 23 1982",0.31494,0.4
"Apr 30 1982",0.310064,0.4
"May 7 1982",0.43457,0.442857
"May 14 1982",0.651917,0.5
"May 21 1982",0.60457,0.5
"May 28 1982",0.531978,0.4
"Jun 4 1982",0.517242,0.4
"Jun 11 1982",0.858631,1.08571
"Jun 18 1982",1.72016,1.21429
"Jun 25 1982",4.91643,9.18571
"Jul 2 1982",2.10036,3.7
"Jul 9 1982",3.10149, 
"Jul 16 1982",5.63529, 
"Jul 23 1982",4.46305, 
"Jul 30 1982",1.98201, 
"Aug 6 1982",3.4975,4
"Aug 13 1982",2.5061,4.62857
"Aug 20 1982",2.13938,5.62857
"Aug 27 1982",1.84289,6.27143
"Sep 3 1982",1.9337,8.14286
"Sep 10 1982",1.43011,4.92857
"Sep 17 1982",1.42691,4.21429
"Sep 24 1982",1.56644,4.32857
"Oct 1 1982",1.50221,4.04286
"Oct 8 1982",2.12865,4.82857
"Oct 15 1982",1.38925,5.2
"Oct 22 1982",5.03887,4.72857
"Oct 29 1982",5.94685,7.8
"Nov 5 1982",6.59191,5.31429
"Nov 12 1982",6.9463,6.05714
"Nov 19 1982",7.60203,9.94286
"Nov 26 1982",5.89884,9.81429
"Dec 3 1982",1.3148,16.8714
"Dec 10 1982",1.17864,13.6857
"Dec 17 1982",1.08322,6.51429
"Dec 24 1982",0.882783,7.425
"Jan 1 1983",0.953896,4.72857
"Jan 8 1983",0.984362,4.21429
"Jan 15 1983",0.881554,3.07143
"Jan 22 1983",0.848957,2.55714
"Jan 29 1983",0.823531,1.97143
"Feb 5 1983",0.798539,1.65714
"Feb 12 1983",0.77796, 
"Feb 19 1983",0.757701,2.125
"Feb 26 1983",0.739494,1.9
"Mar 5 1983",0.722521,1.65714
"Mar 12 1983",0.70638,1.45714
"Mar 19 1983",0.69107,1.37143
"Mar 26 1983",0.680808,1.3
"Apr 2 1983",0.664579,1.17143
"Apr 9 1983",0.64985,1.17143
"Apr 16 1983",0.636639,1.22857
"Apr 23 1983",0.624302,1.44286
"Apr 30 1983",0.613695,1.22857
"May 7 1983",0.608144,1.1
"May 14 1983",0.617455,1.08571
"May 21 1983",0.687334,1.01429
"May 28 1983",0.646569,0.971429
"Jun 4 1983",0.622776,0.928571
"Jun 11 1983",0.65474,0.942857
"Jun 18 1983",0.686254,0.957143
"Jun 25 1983",0.685481,1.05714
"Jul 2 1983",1.02013,1.2
"Jul 9 1983",1.06005,1.2
"Jul 16 1983",0.960026,1.42857
"Jul 23 1983",0.895455,1.21429
"Jul 30 1983",0.845356,1.25714
"Aug 6 1983",0.92076,2.5
"Aug 13 1983",0.954534,1.32857
"Aug 20 1983",0.994311,2.24286
"Aug 27 1983",1.13322,1.65
"Sep 3 1983",1.89091,1.52857
"Sep 10 1983",1.21665,2.15
"Sep 17 1983",3.8518,2.3
"Sep 24 1983",2.12771,2.95714
"Oct 1 1983",5.11281,5.31429
"Oct 8 1983",2.3249,7.32857
"Oct 15 1983",1.22515,4.44286
"Oct 22 1983",3.22374,4.92857
"Oct 29 1983",4.52081,5.5
"Nov 5 1983",5.72663,4.94286
"Nov 12 1983",4.10664,3.4
"Nov 19 1983",2.88618,3.31429
"Nov 26 1983",1.05913,3.25714
"Dec 3 1983",0.958972,2.71429
"Dec 10 1983",0.887052,2.42
"Dec 17 1983",0.832357, 
"Dec 24 1983",0.689209, 
"Jan 1 1984",0.755239, 
"Jan 8 1984",0.727521, 
"Jan 15 1984",0.704777,1.23333
"Jan 22 1984",0.684927,1.18571
"Jan 29 1984",0.667006,1.1
"Feb 5 1984",0.65079,1.07143
"Feb 12 1984",0.635965,1.01429
"Feb 19 1984",0.622108,1
"Feb 26 1984",0.532831,0.9875
"Mar 5 1984",0.597596,0.928571
"Mar 12 1984",0.58624,0.971429
"Mar 19 1984",0.576477,0.9
"Mar 26 1984",0.569082,0.9
"Apr 2 1984",0.564069,0.857143
"Apr 9 1984",0.576601,0.814286
"Apr 16 1984",0.545377,0.814286
"Apr 23 1984",0.533579,0.8
"Apr 30 1984",0.541584,0.842857
"May 7 1984",0.552419,0.8
"May 14 1984",0.536397,0.785714
"May 21 1984",0.541671,0.7
"May 28 1984",0.626954,0.714286
"Jun 4 1984",0.544435,0.771429
"Jun 11 1984",0.848465,0.8
"Jun 18 1984",0.58787,0.8
"Jun 25 1984",0.744978,0.814286
"Jul 2 1984",2.2721,2.58571
"Jul 9 1984",1.69492,1.74286
"Jul 16 1984",1.12514,1.92857
"Jul 23 1984",1.01994,2.82857
"Jul 30 1984",0.965366,2.77143
"Aug 6 1984",0.948425,2.25714
"Aug 13 1984",1.02659,2.52857
"Aug 20 1984",0.852268,3
"Aug 27 1984",0.793098,3.98571
"Sep 3 1984",1.01986,3.82857
"Sep 10 1984",0.827153,4.3
"Sep 17 1984",1.40578,4.21429
"Sep 24 1984",2.63061,4.1
"Oct 1 1984",7.35659,4.87143
"Oct 8 1984",8.01998,11.5286
"Oct 15 1984",10.1278,18.1
"Oct 22 1984",13.8027,18.1286
"Oct 29 1984",12.9362,11.0857
"Nov 5 1984",2.0016,6.7
"Nov 12 1984",6.10304,8.25714
"Nov 19 1984",7.19794,11.8857
"Nov 26 1984",8.15842,12.0714
"Dec 3 1984",8.37964,8.18571
"Dec 10 1984",1.50689,5.64286
"Dec 17 1984",1.25905,4.25714
"Dec 24 1984",0.99363,3.5125
"Jan 1 1985",1.04902,3.18571
"Jan 8 1985",1.01656,3.5
"Jan 15 1985",0.953255,3.15714
"Jan 22 1985",0.90771,2.91429
"Jan 29 1985",0.875139,2.77143
"Feb 5 1985",0.846316,2.42857
"Feb 12 1985",0.820936,2.18571
"Feb 19 1985",0.798468,2
"Feb 26 1985",0.778293,1.87143
"Mar 5 1985",0.762175,1.82857
"Mar 12 1985",0.742455,1.6
"Mar 19 1985",0.728575,1.64286
"Mar 26 1985",0.717157,1.7
"Apr 2 1985",0.708618,1.5
"Apr 9 1985",0.691291,1.27143
"Apr 16 1985",0.675392,1.28571
"Apr 23 1985",0.660668,1.11429
"Apr 30 1985",0.646765,1.11429
"May 7 1985",0.633389,1.08571
"May 14 1985",0.623003,1.05714
"May 21 1985",0.613162,1.07143
"May 28 1985",0.601806,1
"Jun 4 1985",0.591833,0.928571
"Jun 11 1985",0.585026,0.9
"Jun 18 1985",0.576832,0.842857
"Jun 25 1985",0.574287,0.8
"Jul 2 1985",0.564505,0.9
"Jul 9 1985",0.643454,0.857143
"Jul 16 1985",0.583149,0.842857
"Jul 23 1985",0.596916,0.8
"Jul 30 1985",0.7857,0.914286
"Aug 6 1985",0.698769,0.814286
"Aug 13 1985",1.05589,0.8
"Aug 20 1985",0.604085,0.757143
"Aug 27 1985",0.572913,0.685714
"Sep 3 1985",0.563676,0.671429
"Sep 10 1985",0.590641,0.628571
"Sep 17 1985",0.639825,0.614286
"Sep 24 1985",0.815963,0.642857
"Oct 1 1985",0.885859,0.6
"Oct 8 1985",0.617313,0.571429
"Oct 15 1985",0.722597,0.6
"Oct 22 1985",0.599988, 
"Oct 29 1985",0.529682, 
"Nov 5 1985",0.605065, 
"Nov 12 1985",0.513752, 
"Nov 19 1985",0.469267,0.6
"Nov 26 1985",0.453489,0.6
"Dec 3 1985",0.440215,0.542857
"Dec 10 1985",0.429056,0.5
"Dec 17 1985",0.419456,0.5
"Dec 24 1985",0.359524,0.5
"Jan 1 1986",0.404245,0.5
"Jan 8 1986",0.396028,0.5
"Jan 15 1986",0.389383,0.5
"Jan 22 1986",0.383095,0.5
"Jan 29 1986",0.377092,0.5
"Feb 5 1986",0.371564,0.628571
"Feb 12 1986",0.365862,0.628571
