Streamflow Gauge Comparison
"Scenario: Reference, Streamflow Gauge: EF_L09_Confluencia"
Cubic Meters per Second
Statistic,Modeled,Observed
"Jan 1 1979",0.123907,0.0693005
"Jan 8 1979",0.0594621,0.00840035
"Jan 15 1979",0.0306743,0.00856593
"Jan 22 1979",0.0171113,0.00871102
"Jan 29 1979",0.0103189,0.00881132
"Feb 5 1979",0.00640398,0.00887951
"Feb 12 1979",0.00417513,0.00893762
"Feb 19 1979",0.00281905,0.0089868
"Feb 26 1979",0.00199611,0.00787927
"Mar 5 1979",0.00146724,0.00903985
"Mar 12 1979",0.00110159,0.00902379
"Mar 19 1979",0.000853904,0.00899821
"Mar 26 1979",0.000680567,0.00899061
"Apr 2 1979",0.000717723,0.00898662
"Apr 9 1979",0.000606353,0.00897461
"Apr 16 1979",0.000508762,0.00894395
"Apr 23 1979",0.00218444,0.0161922
"Apr 30 1979",0.00626381,0.0229185
"May 7 1979",0.00284466,0.0219899
"May 14 1979",0.00244306,0.0233517
"May 21 1979",0.0020892,0.0228437
"May 28 1979",0.001806,0.0229686
"Jun 4 1979",0.00159457,0.0229645
"Jun 11 1979",0.00140765,0.0228757
"Jun 18 1979",0.00124095,0.022751
"Jun 25 1979",0.0010913,0.0283094
"Jul 2 1979",0.000942953,0.0329757
"Jul 9 1979",0.000819109,0.0326594
"Jul 16 1979",0.000718871,0.033914
"Jul 23 1979",0.0234453,0.0801217
"Jul 30 1979",0.573613,0.562911
"Aug 6 1979",0.25915,0.349562
"Aug 13 1979",0.0771996,0.220725
"Aug 20 1979",0.314747,0.179135
"Aug 27 1979",0.348378,0.317077
"Sep 3 1979",0.256601,0.364014
"Sep 10 1979",0.0997938,0.301623
"Sep 17 1979",0.0556806,0.21202
"Sep 24 1979",0.069558,0.163507
"Oct 1 1979",0.028506,0.141213
"Oct 8 1979",0.0163938,0.127125
"Oct 15 1979",0.00921174,0.118443
"Oct 22 1979",0.00534271,0.112833
"Oct 29 1979",0.00321353,0.108422
"Nov 5 1979",0.00261217,0.10465
"Nov 12 1979",0.0021084,0.108566
"Nov 19 1979",0.00113702,0.109531
"Nov 26 1979",0.000711399,0.107178
"Dec 3 1979",0.000448304,0.10516
"Dec 10 1979",0.00112974,0.103156
"Dec 17 1979",0.000465703,0.100534
"Dec 24 1979",0.000216291,0.0979649
"Jan 1 1980",0.000140765,0.0953902
"Jan 8 1980",0.000216076,0.0930323
"Jan 15 1980",0.000198568,0.0907269
"Jan 22 1980",9.13851E-5,0.0884888
"Jan 29 1980",0.00012622,0.0863121
"Feb 5 1980",9.03633E-5,0.0842138
"Feb 12 1980",4.59942E-5,0.0821968
"Feb 19 1980",4.486E-5,0.080287
"Feb 26 1980",2.34277E-5,0.0782312
"Mar 5 1980",1.70384E-5,0.0763287
"Mar 12 1980",1.17478E-5,0.0745928
"Mar 19 1980",8.47075E-6,0.072925
"Mar 26 1980",6.26746E-6,0.0713223
"Apr 2 1980",0.000960018,0.0817173
"Apr 9 1980",1.05619,1.53092
"Apr 16 1980",0.191906,0.850592
"Apr 23 1980",0.213684,0.814579
"Apr 30 1980",0.0931425,0.457867
"May 7 1980",0.40336,0.324157
"May 14 1980",0.1669,0.260572
"May 21 1980",0.0931658,0.232045
"May 28 1980",0.32922,0.18762
"Jun 4 1980",0.162404,0.189841
"Jun 11 1980",0.0873922,0.199457
"Jun 18 1980",0.467083,0.215356
"Jun 25 1980",0.317766,0.355718
"Jul 2 1980",0.424826,0.364645
"Jul 9 1980",0.214289,0.351619
"Jul 16 1980",1.15346,1.7785
"Jul 23 1980",1.24221,3.45268
"Jul 30 1980",0.977092,2.2399
"Aug 6 1980",0.305833,1.34147
"Aug 13 1980",0.182938,0.692162
"Aug 20 1980",0.132273,0.415722
"Aug 27 1980",0.0993264,0.278603
"Sep 3 1980",0.0692718,0.206182
"Sep 10 1980",0.0454792,0.168051
"Sep 17 1980",0.0574821,0.150175
"Sep 24 1980",0.201605,0.560889
"Oct 1 1980",0.136056,1.68165
"Oct 8 1980",0.0591695,0.681653
"Oct 15 1980",0.0282388,0.354292
"Oct 22 1980",0.0172431,0.236125
"Oct 29 1980",0.0102176,0.183758
"Nov 5 1980",0.0144546,0.158271
"Nov 12 1980",0.00587839,0.142667
"Nov 19 1980",0.00355304,0.133534
"Nov 26 1980",0.00215382,0.126354
"Dec 3 1980",0.00127107,0.120182
"Dec 10 1980",0.000759029,0.114807
"Dec 17 1980",0.000643998,0.110109
"Dec 24 1980",0.000316819,0.105623
"Jan 1 1981",0.000214129,0.101551
"Jan 8 1981",0.000135558,0.0980818
"Jan 15 1981",9.82588E-5,0.0948768
"Jan 22 1981",6.04688E-5,0.091914
"Jan 29 1981",3.75661E-5,0.0891377
"Feb 5 1981",3.69658E-5,0.0865645
"Feb 12 1981",2.84084E-5,0.0841164
"Feb 19 1981",1.79711E-5,0.0818277
"Feb 26 1981",1.21138E-5,0.0697045
"Mar 5 1981",8.40685E-6,0.0776198
"Mar 12 1981",6.08304E-6,0.0756758
"Mar 19 1981",4.57007E-6,0.0738421
"Mar 26 1981",3.62388E-6,0.0720835
"Apr 2 1981",2.89886E-6,0.0704181
"Apr 9 1981",2.33464E-6,0.068815
"Apr 16 1981",1.9579E-6,0.0673055
"Apr 23 1981",2.6019E-5,0.0675393
"Apr 30 1981",0.0114743,0.0827237
"May 7 1981",0.098541,0.292714
"May 14 1981",0.0234754,0.453794
"May 21 1981",0.0196159,0.32211
"May 28 1981",0.899284,1.65225
"Jun 4 1981",0.131705,1.48308
"Jun 11 1981",0.106748,0.777468
"Jun 18 1981",0.316354,1.20099
"Jun 25 1981",0.0974793,0.95912
"Jul 2 1981",0.315923,0.562
"Jul 9 1981",0.35765,0.493154
"Jul 16 1981",0.124785,0.579062
"Jul 23 1981",0.1043,0.387413
"Jul 30 1981",0.482065,0.285777
"Aug 6 1981",0.269773,0.24067
"Aug 13 1981",0.0918014,0.19166
"Aug 20 1981",0.0630941,0.162297
"Aug 27 1981",0.154493,0.15899
"Sep 3 1981",0.0806807,0.164963
"Sep 10 1981",0.0620007,0.177704
"Sep 17 1981",0.0281303,0.153124
"Sep 24 1981",0.0173738,0.135703
"Oct 1 1981",0.0115281,0.126583
"Oct 8 1981",0.00795162,0.120605
"Oct 15 1981",0.00516066,0.115966
"Oct 22 1981",0.00327404,0.111763
"Oct 29 1981",0.00208925,0.107857
"Nov 5 1981",0.00192655,0.104271
"Nov 12 1981",0.00104968,0.100941
"Nov 19 1981",0.000634228,0.0978295
"Nov 26 1981",0.00043171,0.0949844
"Dec 3 1981",0.000260461,0.092187
"Dec 10 1981",0.000156388,0.0895961
"Dec 17 1981",9.51811E-5,0.0871611
"Dec 24 1981",4.90648E-5,0.0846798
"Jan 1 1982",3.67753E-5,0.0823412
"Jan 8 1982",2.36763E-5,0.0802699
"Jan 15 1982",1.4419E-5,0.0782877
"Jan 22 1982",8.84433E-6,0.0764026
"Jan 29 1982",5.51019E-6,0.0746018
"Feb 5 1982",3.48158E-6,0.0728909
"Feb 12 1982",2.26892E-6,0.0712571
"Feb 19 1982",1.56162E-6,0.0696822
"Feb 26 1982",1.83049E-6,0.0596415
"Mar 5 1982",1.65246E-5,0.0667159
"Mar 12 1982",1.17946E-5,0.0653311
"Mar 19 1982",0.00854863,0.0764617
"Mar 26 1982",0.00240676,0.101398
"Apr 2 1982",0.00158946,0.101971
"Apr 9 1982",0.00111885,0.0998791
"Apr 16 1982",0.000835747,0.098189
"Apr 23 1982",0.000630319,0.0963421
"Apr 30 1982",0.000486321,0.0964966
"May 7 1982",0.845475,0.957797
"May 14 1982",0.38934,1.57081
"May 21 1982",0.126697,0.868966
"May 28 1982",0.103362,0.49789
"Jun 4 1982",0.466887,0.350122
"Jun 11 1982",3.75522,1.16138
"Jun 18 1982",2.7745,2.4994
"Jun 25 1982",7.69914,6.94115
"Jul 2 1982",3.04893,2.95906
"Jul 9 1982",2.2662,1.73383
"Jul 16 1982",4.93332,4.77336
"Jul 23 1982",1.51867,2.26976
"Jul 30 1982",0.585036,1.33378
"Aug 6 1982",2.65433,1.15769
"Aug 13 1982",1.41431,3.97561
"Aug 20 1982",1.98705,1.52201
"Aug 27 1982",0.388864,0.831859
"Sep 3 1982",0.324157,0.460206
"Sep 10 1982",0.542025,0.314447
"Sep 17 1982",0.518695,0.245693
"Sep 24 1982",0.735941,0.204417
"Oct 1 1982",0.193408,0.17788
"Oct 8 1982",0.127858,0.155859
"Oct 15 1982",0.175531,0.146199
"Oct 22 1982",0.109119,0.135908
"Oct 29 1982",0.0498585,0.129879
"Nov 5 1982",0.0313879,0.124981
"Nov 12 1982",0.0200777,0.120374
"Nov 19 1982",0.0126134,0.116074
"Nov 26 1982",0.00797103,0.112153
"Dec 3 1982",0.00499311,0.108296
"Dec 10 1982",0.00316235,0.10483
"Dec 17 1982",0.00201493,0.101592
"Dec 24 1982",0.00108211,0.0983386
"Jan 1 1983",0.000719013,0.0952622
"Jan 8 1983",0.00238284,0.0926296
"Jan 15 1983",0.000887239,0.0900494
"Jan 22 1983",0.000457354,0.0876586
"Jan 29 1983",0.000298299,0.0853768
"Feb 5 1983",0.000177693,0.083196
"Feb 12 1983",0.000119834,0.0811256
"Feb 19 1983",7.68406E-5,0.0791457
"Feb 26 1983",5.31184E-5,0.0676023
"Mar 5 1983",3.81275E-5,0.0754529
"Mar 12 1983",2.79545E-5,0.0737228
"Mar 19 1983",2.12935E-5,0.072068
"Mar 26 1983",7.40493E-5,0.0704713
"Apr 2 1983",9.16607E-5,0.0689483
"Apr 9 1983",6.27889E-5,0.0674821
"Apr 16 1983",4.83247E-5,0.0660765
"Apr 23 1983",0.00185602,0.064716
"Apr 30 1983",0.0057641,0.0768777
"May 7 1983",0.0022588,0.0786679
"May 14 1983",0.091357,0.119045
"May 21 1983",0.0407677,0.153958
"May 28 1983",0.0235969,0.146442
"Jun 4 1983",0.0429729,0.148356
"Jun 11 1983",0.098247,0.178806
"Jun 18 1983",0.0671763,1.98597
"Jun 25 1983",0.0734226,1.58834
"Jul 2 1983",3.38953,5.49551
"Jul 9 1983",0.344628,7.58833
"Jul 16 1983",0.282429,3.04909
"Jul 23 1983",0.273525,1.4802
"Jul 30 1983",0.196296,0.830582
"Aug 6 1983",1.63376,0.70804
"Aug 13 1983",0.259559,0.773805
"Aug 20 1983",1.38719,0.517221
"Aug 27 1983",1.06325,0.472668
"Sep 3 1983",1.12101,0.342002
"Sep 10 1983",2.061,0.245085
"Sep 17 1983",0.373014,0.196844
"Sep 24 1983",0.546028,0.186868
"Oct 1 1983",0.157748,0.162616
"Oct 8 1983",0.0892733,0.145001
"Oct 15 1983",0.0599145,0.134469
"Oct 22 1983",0.0352907,0.126967
"Oct 29 1983",0.0210746,0.121435
"Nov 5 1983",0.0130268,0.116556
"Nov 12 1983",0.0087288,0.112156
"Nov 19 1983",0.00540068,0.108126
"Nov 26 1983",0.0032723,0.104402
"Dec 3 1983",0.00200623,0.101014
"Dec 10 1983",0.00124976,0.0978719
"Dec 17 1983",0.000778072,0.0949197
"Dec 24 1983",0.000406027,0.0919653
"Jan 1 1984",0.000273581,0.0891785
"Jan 8 1984",0.000173846,0.0867276
"Jan 15 1984",0.000177925,0.0844047
"Jan 22 1984",0.000103127,0.0822062
"Jan 29 1984",6.12351E-5,0.0801379
"Feb 5 1984",3.73773E-5,0.0781385
"Feb 12 1984",2.37226E-5,0.0762472
"Feb 19 1984",1.59799E-5,0.0744458
"Feb 26 1984",9.62552E-6,0.072615
"Mar 5 1984",7.81017E-6,0.0708561
"Mar 12 1984",0.00192642,0.0692819
"Mar 19 1984",0.000718013,0.0677793
"Mar 26 1984",0.00455883,0.0667205
"Apr 2 1984",0.0015042,0.0650331
"Apr 9 1984",0.00502768,0.0645976
"Apr 16 1984",0.00194425,0.0628026
"Apr 23 1984",0.00148503,0.061785
"Apr 30 1984",0.0482346,0.0748273
"May 7 1984",0.0131002,0.0811096
"May 14 1984",0.0113572,0.0844641
"May 21 1984",0.0928462,0.135553
"May 28 1984",0.0346015,0.255721
"Jun 4 1984",0.033296,0.216329
"Jun 11 1984",0.0928568,0.179723
"Jun 18 1984",0.233361,0.166732
"Jun 25 1984",1.41852,0.30953
"Jul 2 1984",2.51852,27.7941
"Jul 9 1984",1.44073,20.5541
"Jul 16 1984",0.358409,5.56682
"Jul 23 1984",0.283525,4.13672
"Jul 30 1984",0.490489,2.52085
"Aug 6 1984",0.265192,1.79064
"Aug 13 1984",0.273201,1.17894
"Aug 20 1984",0.156916,0.641112
"Aug 27 1984",0.143339,0.444694
"Sep 3 1984",0.532032,0.436598
"Sep 10 1984",1.13843,0.531457
"Sep 17 1984",2.36774,0.463084
"Sep 24 1984",2.38305,0.377067
"Oct 1 1984",3.50666,0.277162
"Oct 8 1984",3.09307,0.214011
"Oct 15 1984",3.51068,0.177155
"Oct 22 1984",4.30255,0.157106
"Oct 29 1984",1.29443,0.143727
"Nov 5 1984",0.909188,0.135044
"Nov 12 1984",0.215865,0.127167
"Nov 19 1984",0.116893,0.120797
"Nov 26 1984",0.0647966,0.115322
"Dec 3 1984",0.0369995,0.110558
"Dec 10 1984",0.0220698,0.106292
"Dec 17 1984",0.0137325,0.102414
"Dec 24 1984",0.00729321,0.0986688
"Jan 1 1985",0.00486872,0.0952471
"Jan 8 1985",0.00359119,0.0922906
"Jan 15 1985",0.00237316,0.0895581
"Jan 22 1985",0.00145953,0.0869784
"Jan 29 1985",0.000943631,0.0845599
"Feb 5 1985",0.000604755,0.0822663
"Feb 12 1985",0.000387179,0.0801242
"Feb 19 1985",0.000258952,0.0780759
"Feb 26 1985",0.000181875,0.0666149
"Mar 5 1985",0.000131943,0.0742877
"Mar 12 1985",9.93938E-5,0.0725306
"Mar 19 1985",9.90109E-5,0.0721696
"Mar 26 1985",0.00424959,0.0776237
"Apr 2 1985",0.00155174,0.0852943
"Apr 9 1985",0.00111392,0.0863349
"Apr 16 1985",0.000820329,0.0856798
"Apr 23 1985",0.000740671,0.084636
"Apr 30 1985",0.00113274,0.0949562
