Streamflow Gauge Comparison
"Scenario: Reference, Streamflow Gauge: LiguaEnQuinquimo"
Cubic Meters per Second
Statistic,Modeled,Observed
"Jan 1 1979",4.19578,0
"Jan 8 1979",10.4758,0
"Jan 15 1979",11.6017,0
"Jan 22 1979",12.2549,0
"Jan 29 1979",11.6945,0
"Feb 5 1979",11.7843,0
"Feb 12 1979",10.9611,0
"Feb 19 1979",11.0857,0
"Feb 26 1979",10.2739,0
"Mar 5 1979",10.4189,0
"Mar 12 1979",9.49246,0
"Mar 19 1979",9.47082,0
"Mar 26 1979",8.63534,0
"Apr 2 1979",9.11426,0
"Apr 9 1979",8.09912,0
"Apr 16 1979",8.58295,0
"Apr 23 1979",8.05068,0
"Apr 30 1979",8.22772,0.114286
"May 7 1979",7.69986,0.657143
"May 14 1979",7.76707,0.8
"May 21 1979",7.18777,0.914286
"May 28 1979",7.51535,0.742857
"Jun 4 1979",7.10881,0.728571
"Jun 11 1979",7.15507,0.8
"Jun 18 1979",6.92051,0.771429
"Jun 25 1979",6.84632,0.6
"Jul 2 1979",6.50992,0.614286
"Jul 9 1979",6.61474,0.785714
"Jul 16 1979",6.34645,0.614286
"Jul 23 1979",6.72897,0.885714
"Jul 30 1979",10.5351,1.57143
"Aug 6 1979",8.4877,1.41429
"Aug 13 1979",6.53371,1.2
"Aug 20 1979",9.03307,1.25714
"Aug 27 1979",8.81097,1.94286
"Sep 3 1979",9.44645,2.14286
"Sep 10 1979",7.17583,2.21667
"Sep 17 1979",6.32977,2.08333
"Sep 24 1979",6.35146, 
"Oct 1 1979",5.79119, 
"Oct 8 1979",5.61137, 
"Oct 15 1979",6.98101, 
"Oct 22 1979",4.75718, 
"Oct 29 1979",5.48144, 
"Nov 5 1979",4.5679, 
"Nov 12 1979",4.88992, 
"Nov 19 1979",4.20186, 
"Nov 26 1979",4.65921, 
"Dec 3 1979",3.69506, 
"Dec 10 1979",4.53332,0.1
"Dec 17 1979",4.15444,0.1
"Dec 24 1979",3.54899, 
"Jan 1 1980",4.64246, 
"Jan 8 1980",3.59672, 
"Jan 15 1980",3.75635, 
"Jan 22 1980",3.86404, 
"Jan 29 1980",3.57902, 
"Feb 5 1980",3.87394, 
"Feb 12 1980",3.52433, 
"Feb 19 1980",3.88586, 
"Feb 26 1980",3.05405, 
"Mar 5 1980",4.23665, 
"Mar 12 1980",3.49283, 
"Mar 19 1980",3.70742, 
"Mar 26 1980",3.43852, 
"Apr 2 1980",3.77882, 
"Apr 9 1980",9.27308,4.06
"Apr 16 1980",5.75243,1.02857
"Apr 23 1980",6.07846,0.842857
"Apr 30 1980",4.72348,1.14286
"May 7 1980",6.64172,0.471429
"May 14 1980",5.25772,0.4
"May 21 1980",4.42069,0.4
"May 28 1980",5.85061,0.385714
"Jun 4 1980",5.04584,0.357143
"Jun 11 1980",4.45269,0.328571
"Jun 18 1980",6.31194,0.385714
"Jun 25 1980",7.28765,0.814286
"Jul 2 1980",7.70555,1.02857
"Jul 9 1980",5.20856,1.25714
"Jul 16 1980",10.4828,10.9857
"Jul 23 1980",14.9782,10.7857
"Jul 30 1980",10.0041,7.41429
"Aug 6 1980",7.68456,6.41429
"Aug 13 1980",5.52524,3.55714
"Aug 20 1980",5.13426,2.1
"Aug 27 1980",4.71555,1.55714
"Sep 3 1980",4.1922,1
"Sep 10 1980",3.77548,0.542857
"Sep 17 1980",4.25205,0.3
"Sep 24 1980",4.67081,1.94286
"Oct 1 1980",5.43075,6.62857
"Oct 8 1980",4.8022,3.82857
"Oct 15 1980",5.50401,3.18571
"Oct 22 1980",5.64451,3.21429
"Oct 29 1980",6.32386,3.18571
"Nov 5 1980",2.87295,3.87143
"Nov 12 1980",3.30365,3.31429
"Nov 19 1980",2.94981,2.6
"Nov 26 1980",2.86803,2.54286
"Dec 3 1980",2.64113,2.24286
"Dec 10 1980",2.53062,2.02857
"Dec 17 1980",2.94343,1.45714
"Dec 24 1980",2.27244,0.525
"Jan 1 1981",3.09583,0.314286
"Jan 8 1981",2.47432,0.214286
"Jan 15 1981",2.41099,0.0285714
"Jan 22 1981",2.62575,0.0571429
"Jan 29 1981",2.39382,0.128571
"Feb 5 1981",2.65605,0.1
"Feb 12 1981",2.38305,0.142857
"Feb 19 1981",2.7372,0
"Feb 26 1981",2.34246,0.0428571
"Mar 5 1981",2.85482,0.0857143
"Mar 12 1981",2.27661,0.0428571
"Mar 19 1981",2.86017,0.0714286
"Mar 26 1981",2.29936,0.0857143
"Apr 2 1981",2.90317,0.1
"Apr 9 1981",2.29921,0.1
"Apr 16 1981",2.86549,0.1
"Apr 23 1981",2.497,0.1
"Apr 30 1981",2.96559,0.128571
"May 7 1981",3.51146,2.91429
"May 14 1981",3.17325,1.04286
"May 21 1981",2.85147,0.971429
"May 28 1981",8.31737,8.57143
"Jun 4 1981",4.12084,2.81429
"Jun 11 1981",4.05648,2.42857
"Jun 18 1981",6.26818,2.64286
"Jun 25 1981",3.85085,2.71429
"Jul 2 1981",6.0766,2.42857
"Jul 9 1981",6.82594,2.41429
"Jul 16 1981",3.95134,2.15714
"Jul 23 1981",3.97588,1.48571
"Jul 30 1981",6.1037,1.51429
"Aug 6 1981",6.03607,1.72857
"Aug 13 1981",3.60793,1.54286
"Aug 20 1981",3.61615,1.4
"Aug 27 1981",4.67246,1.25714
"Sep 3 1981",3.88295,0.814286
"Sep 10 1981",3.4543,0.928571
"Sep 17 1981",3.07394,0.657143
"Sep 24 1981",2.78295,0.528571
"Oct 1 1981",2.79374,0.6
"Oct 8 1981",2.32943,0.342857
"Oct 15 1981",3.91397,0.3
"Oct 22 1981",3.50383,0.328571
"Oct 29 1981",2.76749,0.185714
"Nov 5 1981",2.25943,0.171429
"Nov 12 1981",2.5301,0.242857
"Nov 19 1981",1.91097,0.214286
"Nov 26 1981",2.26167,0.0714286
"Dec 3 1981",1.86335,0
"Dec 10 1981",2.07626,0
"Dec 17 1981",1.99322,0
"Dec 24 1981",1.73283,0
"Jan 1 1982",2.34082,0
"Jan 8 1982",1.92416,0
"Jan 15 1982",1.83227,0
"Jan 22 1982",1.89107,0
"Jan 29 1982",1.82412,0
"Feb 5 1982",1.91052,0.0428571
"Feb 12 1982",1.78938,0
"Feb 19 1982",2.17122,0
"Feb 26 1982",1.80301,0
"Mar 5 1982",2.18142,0
"Mar 12 1982",1.76825,0
"Mar 19 1982",2.24073,0
"Mar 26 1982",1.90287,0.05
"Apr 2 1982",2.26373, 
"Apr 9 1982",1.82487, 
"Apr 16 1982",2.23882, 
"Apr 23 1982",1.84665, 
"Apr 30 1982",2.20369, 
