Key Assumptions
"Scenario: Reference, Branch: Key Assumptions\MODFLOW\Simulaciones"
 
Branch,"Sim_A.P. Cabildo","Sim_A.P. Ligua","Sim_A.P. Papudo y Zapallar","Sim_A.P. Placilla","Sim_A.P. Valle Hermoso 1","Sim_A.P. Valle Hermoso 2","Sim_Asentamiento Alicahue","Sim_Asentamiento Bartolillo","Sim_Asentamiento Paihuen","Sim_Asentamiento Pililen","Sim_Asentamiento San Lorenzo","Sim_Asentamiento V. Aconcagua","Sim_Fundo El Molle","Sim_Fundo Montegrande","Sim_La Higuera","Sim_Pozo Dren Cabildo","Sim_Reserva La Vega"
"Jan 1 1979",198.61,55.325,17.468,22.987,69.763,69.763,674.11,465.68,566.65,447.99,277.4,416.68,347.64,158.99,97.131,217.73,310
"Jan 8 1979",201.03,54.6192,18.2758,23.3624,71.6548,71.6548,676.356,465.588,567.265,448.34,277.522,417.008,347.733,168.935,97.0932,236.587,310.023
"Jan 15 1979",202.261,54.3518,18.4561,23.5484,71.8308,71.8308,678.726,465.532,568.169,448.763,278.366,417.27,347.892,170.384,97.0643,238.058,310.185
"Jan 22 1979",203.124,54.3491,18.4706,23.5968,71.8128,71.8128,680.744,465.5,568.537,449.223,279.555,417.477,348.092,169.387,97.0411,236.123,310.38
"Jan 29 1979",203.788,54.5243,18.4569,23.6179,71.8207,71.8207,682.288,465.486,568.629,449.701,280.814,417.638,348.315,168.045,97.0234,233.867,310.579
"Feb 5 1979",204.317,54.7958,18.4415,23.6181,71.8665,71.8665,683.386,465.485,568.617,450.182,281.996,417.762,348.55,166.852,97.0108,231.826,310.772
"Feb 12 1979",204.723,55.128,18.4324,23.6235,71.9342,71.9342,684.107,465.499,568.561,450.706,283.032,417.855,348.786,165.885,97.003,230.07,310.958
"Feb 19 1979",205.031,55.5025,18.4267,23.617,72.0086,72.0086,684.53,465.527,568.488,451.255,283.899,417.921,349.02,165.112,96.9996,228.574,311.158
"Feb 26 1979",205.266,55.9011,18.4252,23.621,72.0809,72.0809,684.726,465.567,568.409,451.673,284.599,417.967,349.25,164.487,97.0003,227.305,311.348
"Mar 5 1979",205.444,56.3153,18.4241,23.6135,72.1455,72.1455,684.754,465.62,568.332,451.989,285.144,417.996,349.472,163.972,97.0046,226.256,311.525
"Mar 12 1979",205.577,56.7285,18.4249,23.6166,72.2003,72.2003,684.659,465.687,568.259,452.226,285.553,418.011,349.686,163.548,97.0122,225.362,311.69
"Mar 19 1979",205.675,57.1342,18.4239,23.6065,72.2434,72.2434,684.476,465.763,568.192,452.401,285.845,418.016,349.893,163.189,97.0228,224.605,311.847
"Mar 26 1979",205.745,57.5978,18.4234,23.6062,72.2756,72.2756,684.231,465.847,568.129,452.527,286.038,418.012,350.091,162.886,97.036,223.953,311.996
"Apr 2 1979",205.795,58.0716,18.4209,23.596,72.2969,72.2969,683.944,465.938,568.072,452.614,286.147,418.001,350.28,162.621,97.0516,223.386,312.139
"Apr 9 1979",205.828,58.4869,18.4196,23.6017,72.3089,72.3089,683.63,466.032,568.022,452.67,286.184,417.986,350.461,162.391,97.0692,222.9,312.276
"Apr 16 1979",205.848,58.8634,18.4156,23.5895,72.3115,72.3115,683.299,466.13,567.979,452.702,286.164,417.967,350.634,162.184,97.0887,222.474,312.407
"Apr 23 1979",205.859,59.21,18.4127,23.5946,72.3068,72.3068,682.96,466.23,567.942,452.714,286.098,417.946,350.8,162.004,97.1098,222.108,312.533
"Apr 30 1979",205.862,59.5316,18.4089,23.5884,72.2957,72.2957,682.617,466.329,567.907,452.712,285.992,417.924,350.959,161.838,97.1334,221.788,312.654
"May 7 1979",205.859,59.8311,18.4045,23.5899,72.2783,72.2783,682.276,466.427,567.873,452.697,285.856,417.901,351.111,161.683,97.1709,221.51,312.769
"May 14 1979",205.85,60.1103,18.3987,23.583,72.2554,72.2554,681.94,466.523,567.84,452.672,285.694,417.878,351.258,161.536,97.2028,221.258,312.88
"May 21 1979",205.838,60.3707,18.393,23.5826,72.2282,72.2282,681.614,466.616,567.809,452.639,285.514,417.855,351.398,161.401,97.2301,221.041,312.986
"May 28 1979",205.821,60.6135,18.3862,23.5745,72.1968,72.1968,681.298,466.718,567.78,452.599,285.318,417.833,351.533,161.276,97.2537,220.836,313.088
"Jun 4 1979",205.804,60.8398,18.3804,23.5773,72.1626,72.1626,680.992,466.844,567.753,452.556,285.11,417.813,351.662,161.164,97.2743,220.667,313.186
"Jun 11 1979",205.784,61.0506,18.3736,23.5718,72.1256,72.1256,680.697,466.951,567.728,452.508,284.895,417.793,351.787,161.06,97.2925,220.509,313.28
"Jun 18 1979",205.762,61.2468,18.367,23.5711,72.0865,72.0865,680.412,467.044,567.704,452.458,284.673,417.775,351.906,160.963,97.3086,220.372,313.371
"Jun 25 1979",205.739,61.4291,18.3599,23.5673,72.0454,72.0454,680.138,467.126,567.681,452.405,284.448,417.758,352.019,160.873,97.3231,220.247,313.458
"Jul 2 1979",205.714,61.5985,18.3527,23.5652,72.003,72.003,679.876,467.2,567.659,452.351,284.221,417.743,352.126,160.787,97.3361,220.133,313.541
"Jul 9 1979",205.687,61.7557,18.3449,23.5598,71.9592,71.9592,679.624,467.267,567.634,452.296,283.994,417.729,352.227,160.7,97.3478,220.022,313.621
